GISJOIN,STATE,STATEA,COUNTY,COUNTYA,A08AA1820,A08AA1830,A08AA1840,A08AA1850,A08AA1860,A08AA1870,A08AA1880,A08AA1890,A08AA1900,A08AA1910,A08AA1920,A08AA1930,A08AA1940,A08AA1950,A08AA1960,A08AA1970,A08AA1980,A08AA1990,A08AA2000,A08AA2010,A08AB1820,A08AB1830,A08AB1840,A08AB1850,A08AB1860,A08AB1870,A08AB1880,A08AB1890,A08AB1900,A08AB1910,A08AB1920,A08AB1930,A08AB1940,A08AB1950,A08AB1960,A08AB1970,A08AB1980,A08AB1990,A08AB2000,A08AB2010
"G4802670","Texas","480","Kimble County","2670",,,,,,41,737,1219,1341,1715,1864,2150,2660,2380,1984,1938,2000,2018,2149,2281,,,,,,31,606,1024,1162,1546,1717,1969,2404,2239,1959,1966,2063,2104,2319,2326
"G4802690","Texas","480","King County","2690",,,,,,,30,126,284,462,361,612,577,476,357,252,221,183,174,141,,,,,,,10,47,206,348,294,581,489,394,283,212,204,171,182,145
"G4802710","Texas","480","Kinney County","2710",,,,,37,784,2801,2257,1325,1937,2446,2343,2577,1390,1291,1006,1139,1580,1688,1955,,,,,24,420,1686,1524,1122,1464,1300,1637,1956,1278,1161,1000,1140,1539,1691,1643
"G4802730","Texas","480","Kleberg County","2730",,,,,,,,,,,4029,6365,6723,11185,15800,17269,16957,15070,15852,16337,,,,,,,,,,,3808,6086,6621,10806,14252,15897,16401,15204,15697,15724
"G4802750","Texas","480","Knox County","2750",,,,,,,55,601,1204,5167,4865,5817,5158,5107,3908,2895,2564,2328,2008,1835,,,,,,,22,533,1118,4458,4375,5551,4932,4975,3949,3077,2765,2509,2245,1884
"G4802770","Texas","480","Lamar County","2770",,,,2065,5318,8025,14139,19488,25153,23667,28233,24181,25044,20982,16439,17213,20073,20820,23147,24044,,,,1913,4818,7765,13054,17814,23474,22877,27509,24348,25381,22051,17795,18849,22083,23129,25352,25749
"G4802790","Texas","480","Lamb County","2790",,,,,,,0,4,15,312,662,9474,9214,10207,10936,8659,9113,7280,7134,6964,,,,,,,0,0,16,228,513,7978,8392,9808,10960,9111,9556,7792,7575,7013
"G4802810","Texas","480","Lampasas County","2810",,,,,560,724,2842,3964,4411,4915,4595,4400,4590,4901,4609,4473,5793,6559,8714,9705,,,,,468,620,2579,3620,4214,4617,4205,4277,4577,5028,4809,4850,6212,6962,9048,9972
"G4802830","Texas","480","La Salle County","2830",,,,,,43,507,1125,1214,2498,2594,4306,4130,3788,3001,2421,2678,2606,3118,4089,,,,,,26,282,1014,1089,2249,2227,3922,3873,3697,2971,2593,2836,2648,2748,2797
"G4802850","Texas","480","Lavaca County","2850",,,,821,3257,4671,6965,11426,14169,13281,14562,13985,12894,11105,9976,8617,9113,8935,9263,9416,,,,750,2688,4497,6676,10461,13952,13137,14402,13565,12591,11054,10198,9286,9891,9755,9947,9847
"G4802870","Texas","480","Lee County","2870",,,,,,,4632,6144,7512,6657,7131,6855,6556,5064,4390,3935,5646,6488,7892,8410,,,,,,,4305,5808,7083,6475,6883,6535,6195,5080,4559,4113,5306,6366,7765,8202
"G4802890","Texas","480","Leon County","2890",,,,1055,3618,3390,6624,7070,9282,8527,9308,10399,8968,6077,4864,4178,4561,6143,7525,8385,,,,891,3163,3133,6193,6771,8790,8056,8978,9499,8765,5947,5087,4560,5033,6522,7810,8416
"G4802910","Texas","480","Liberty County","2910",,,,1326,1729,2214,2615,2171,4304,5893,7907,10453,12719,13618,15806,16125,23281,26321,34313,37190,,,,1196,1460,2200,2384,2059,3798,4793,6730,9415,11822,13111,15789,16889,23807,26405,35841,38453
"G4802930","Texas","480","Limestone County","2930",,,,1393,2371,4523,8448,11305,16962,17996,17002,20053,16861,12044,9330,8084,9235,9886,11198,12122,,,,1215,2166,4068,7798,10373,15611,16625,16281,19444,16920,13207,11083,10016,10989,11060,10853,11262
"G4802950","Texas","480","Lipscomb County","2950",,,,,,,59,370,436,1392,1951,2385,1931,1873,1754,1728,1867,1580,1486,1662,,,,,,,10,262,354,1242,1733,2127,1833,1785,1652,1758,1899,1563,1571,1640
"G4802970","Texas","480","Live Oak County","2970",,,,,340,497,1057,1093,1196,1794,2201,4771,5113,4625,3912,3285,4789,4696,6769,6195,,,,,253,355,937,962,1072,1648,1970,4185,4686,4429,3934,3412,4817,4860,5540,5336
"G4802990","Texas","480","Llano County","2990",,,,,584,735,2636,3535,3749,3378,2749,2823,3050,2712,2590,3324,4864,5496,8278,9329,,,,,517,644,2326,3237,3552,3142,2611,2715,2946,2665,2650,3655,5280,6135,8766,9972
"G4803010","Texas","480","Loving County","3010",,,,,,,,3,22,132,51,119,150,106,115,83,53,59,36,46,,,,,,,,0,11,117,31,76,135,121,111,81,38,48,31,36
"G4803030","Texas","480","Lubbock County","3030",,,,,,,25,25,172,1986,5895,20066,26187,52122,78240,88163,104784,109658,118724,137786,,,,,,,0,8,121,1638,5201,19038,25595,48926,78031,91132,106867,112978,123904,141045
"G4803050","Texas","480","Lynn County","3050",,,,,,,3,18,14,968,2556,6486,6218,5708,5478,4488,4184,3321,3269,2947,,,,,,,6,6,3,745,2195,5886,5713,5322,5436,4619,4421,3437,3281,2968
"G4803070","Texas","480","McCulloch County","3070",,,,,,97,869,1729,2105,7013,5774,7172,6739,5849,4303,4054,4125,4190,3889,4057,,,,,,76,664,1488,1855,6392,5246,6711,6469,5852,4512,4517,4610,4588,4316,4226
"G4803090","Texas","480","McLennan County","3090",,,,,3368,6880,14001,20291,30560,37250,41299,48941,50062,65070,73824,70939,82304,91808,103526,114169,,,,,2838,6620,12933,18913,29212,36000,41622,49741,51836,65124,76267,76614,88451,97315,109991,120737
"G4803110","Texas","480","McMullen County","3110",,,,,,137,450,574,558,602,536,744,729,652,592,556,406,410,428,367,,,,,,93,251,464,466,489,416,607,645,535,524,539,383,407,423,340
"G4803130","Texas","480","Madison County","3130",,,,,1148,2080,2765,4367,5401,5351,6232,6288,6196,3977,3466,4209,6239,6367,7606,7873,,,,,1090,1981,2630,4145,5031,4967,5724,5939,5833,4019,3283,3484,4410,4564,5334,5791
"G4803150","Texas","480","Marion County","3150",,,,,2080,4453,5590,5355,5346,5224,5484,5270,5768,5075,3933,4161,5053,4915,5343,5171,,,,,1897,4109,5393,5507,5408,5248,5402,5101,5689,5097,4116,4356,5307,5069,5598,5375
"G4803170","Texas","480","Martin County","3170",,,,,,,12,158,183,790,583,3077,2971,2878,2592,2373,2302,2460,2319,2411,,,,,,,0,106,149,759,563,2708,2585,2663,2476,2401,2382,2496,2427,2388
"G4803190","Texas","480","Mason County","3190",,,,,366,354,1462,2661,2807,2939,2476,2844,2725,2452,1876,1618,1744,1631,1795,1978,,,,,264,324,1193,2519,2766,2744,2348,2667,2653,2493,1904,1738,1939,1792,1943,2034
"G4803210","Texas","480","Matagorda County","3210",,,,1154,1841,1745,2055,2056,3182,7342,8664,9183,10356,10775,12769,13541,19033,18274,18845,18363,,,,970,1613,1632,1885,1929,2915,6252,7925,8495,9710,10784,12975,14372,18795,18654,19112,18339
"G4803230","Texas","480","Maverick County","3230",,,,,443,1113,1685,1982,2120,2609,3849,2938,5022,6459,7127,8566,15048,17292,22648,26451,,,,,283,838,1282,1716,1946,2542,3569,3182,5049,5833,7381,9527,16350,19086,24649,27807
"G4803250","Texas","480","Medina County","3250",,,,597,981,1080,2396,2969,4104,7028,6060,7279,8327,8563,9520,10027,11410,13549,20188,23656,,,,312,857,998,2096,2761,3679,6387,5619,6710,7779,8450,9384,10222,11754,13763,19116,22350
"G4803270","Texas","480","Menard County","3270",,,,,,533,809,696,1092,1419,1712,2332,2312,2132,1447,1287,1112,1114,1178,1133,,,,,,134,430,519,919,1288,1450,2115,2209,2043,1517,1359,1234,1138,1182,1109
"G4803275","Texas","480","Menora County","3275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"G4803290","Texas","480","Midland County","3290",,,,,,,,563,922,1781,1225,4203,5905,12878,33356,31786,40563,51758,56032,67242,,,,,,,,470,819,1683,1224,3802,5816,12907,34361,33647,42073,54853,59977,69630
"G4803310","Texas","480","Milam County","3310",,,,1640,2697,4713,9750,13003,20738,19012,19574,19501,16832,11702,10903,9596,10944,11125,11881,12225,,,,1267,2478,4271,8909,11770,18928,17768,18530,18414,16288,11883,11360,10432,11788,11821,12357,12532
"G4803330","Texas","480","Mills County","3330",,,,,,,,2837,4039,4940,4635,4258,4089,3081,2199,1996,2154,2202,2606,2445,,,,,,,,2656,3812,4754,4384,4035,3862,2918,2268,2216,2323,2329,2545,2491
